Verb,mw export,before,after,before,after,lojbo,Verb,Basic selbrivla?,Semantic class,Semantic class,Semantic class,English Frame,pre,x1,1,x2,2,x3,3,x4,4,x5,post,explanation,place1,place2,place3,place4,place5,related words,x1 type,x2 type,x3 type,x4 type,x5 type,verb1,verb2,verb3,Shown arity less than official?,English 2002's official definition,official arity
manri,"
'''manri''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a standard for observing  ''x<sub>2</sub><sub>(entity)</sub>''  with rules  ''x<sub>3</sub><sub>(property of x1)</sub>'' 
:'''lo manri''' — standard. 
:'''i mi manri lo nu ma kau ba jinga vau lo ka jdice ma kau''' — ''I'm the standard of determining of who will win, however I decide that will be so.''
:'''i tu noi ve'i cmana ba manri lo nu zgana le tumla''' — ''That hill will be the reference frame for observing the land.''
:Related words: {ckilu}, {merli}, {pajni}, {cimde}, {jdice}, {marde}",,,,,x1 ciste lo sidbo ja tcaci ja javni ja marde lo ka se pilno fi lo ka ganse ja pajni x2,manri,yes,Actions. Contexts,,,,,x<sub>1</sub>,is a standard for observing ,x<sub>2</sub>,with rules ,x<sub>3</sub>,,,,,,,standard,,,,,"{ckilu}, {merli}, {pajni}, {cimde}, {jdice}, {marde}",entity,entity,property of x1,,,,,,,"x1 is a frame of reference/standard for observing/measuring/determining x2, with/by rules x3 ||| (x1 may be object or si'o idea); (cf. cmavo list ma'i, ckilu, merli, pajni, cimde, jdice, marde)",3
mansa,"
'''mansa''' — ''x<sub>1</sub><sub>(entity)</sub>''  satisfies  ''x<sub>2</sub><sub>(entity)</sub>''  in  ''x<sub>3</sub><sub>(property of x1)</sub>'' 
:'''lo mansa''' — satisfying. '''lo se mansa''' — satisfied. 
:'''i lo zdani be mi cu mansa mi lo ka tcini bu'u ce'u''' — ''I'm satisfied with the conditions in my house.''
:Related words: {pajni}",,,,,x1 mulno lo ka mapti lo se djica ja se denpa ja se nitcu ja se cpedu be x2 bei x3,mansa,yes,,Measures. Amounts,Split description,,,x<sub>1</sub>,satisfies ,x<sub>2</sub>,in ,x<sub>3</sub>,,,,,,,satisfying,satisfied,,,,{pajni},entity,entity,property of x1,,,satisfy [to],,,,x1 satisfies evaluator x2 in property (ka)/state x3 ||| (cf. pajni),3
manti,"
'''manti''' — ''x<sub>1</sub><sub>(entity)</sub>''  is an ant of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo manti''' — ant. 
:'''i lo sakta cu trina lo manti''' — ''Sugar attracts ants.''
:Related words: {cinki}, {blato}",,,,,x1 xekri ja xunre ja bunre ja pelxu ke jiksi'u cinki x2 noi jutsi la'o lanzu Formicidae lanzu,manti,yes,Living. Arthropods,,,,,x<sub>1</sub>,is an ant of species ,x<sub>2</sub>,,,,,,,,,ant,,,,,"{cinki}, {blato}",entity,taxon,,,,,,,,"x1 is an ant of species/breed x2 ||| (cf. cinki, jalra)",2
mapku,"
'''mapku''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a hat, helmet ...
:'''lo mapku''' — hat, helmet. 
:'''i ai mi dasni lo mapku''' — ''I'm going to put on a hat.''
:Related words: {taxfu}, {stedu}, {drudi}",,,,,,mapku,yes,Socio. Clothes,,,,,x<sub>1</sub>,"is a hat, helmet",,,,,,,,,,"hat, helmet",,,,,"{taxfu}, {stedu}, {drudi}",entity,,,,,,,, ...,"x1 is a cap/hat/crown/helmet/piece of headgear [head-top garment] of material x2 ||| (cf. taxfu, stedu, drudi)",2
mapni,"
'''mapni''' — ''x<sub>1</sub><sub>(entity)</sub>''  is some cotton
:'''lo mapni''' — cotton. 
:'''i le mapni cu zabna''' — ''The cotton is of high quality.''
:Related words: {bukpu}",,,,,,mapni,yes,,Universe. Materials & substances,,,,x<sub>1</sub>,is some cotton,,,,,,,,,,cotton,,,,,{bukpu},entity,,,,,,,,,x1 is a quantity of/contains/is made of cotton [type of fabric/material] ||| (cf. bukpu),
mapti,"
'''mapti''' — ''x<sub>1</sub><sub>(entity)</sub>''  is compatible with or matches  ''x<sub>2</sub><sub>(entity)</sub>''  in  ''x<sub>3</sub><sub>(property of x1)</sub>'' 
:'''lo mapti''' — compatible, proper (fitting). 
:'''i lo se cusku be do na mapti lo se cusku be lo jatna pe do lo ka se smuni''' — ''Your words are inconsistent in meaning with what your boss said.''
:'''i ti ckiku lo na mapti be ti noi stela''' — ''This is a key incompatible with this lock.''
:'''i ta mapti lo zabna lo ka jai se djica mi''' — ''That is exactly what I want.''
:Related words: {satci}, {tugni}, {sarxe}, {drani}, {tarmi}, {ckini}, {mintu}",,,,,x1 ckini x2 x3 ja'e lo drani ja mansa ja se djica,mapti,yes,,General. Organization,,,,x<sub>1</sub>,is compatible with or matches ,x<sub>2</sub>,in ,x<sub>3</sub>,,,,,,,"compatible, proper (fitting)",,,,,"{satci}, {tugni}, {sarxe}, {drani}, {tarmi}, {ckini}, {mintu}",entity,entity,property of x1,,,"fit (to suit) [to], suit [to]",,,,"x1 fits/matches/suits/is compatible/appropriate/corresponds to/with x2 in property/aspect x3 ||| (cf. satci, tugni, sarxe, drani, tarmi, ckini, mintu)",3
marbi,"
'''marbi''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a shelter protecting  ''x<sub>2</sub><sub>(entity)</sub>''  against threat  ''x<sub>3</sub><sub>(property of x2)</sub>'' 
:'''lo marbi''' — shelter, haven, refuge, retreat, harbor. 
:'''i mi pu jai se bapli fai lo ka se marbi pa laldo dinju fi lo ka cilmo''' — ''I had to take shelter in an old building in order not to become wet.''
:Related words: {bandu}, {ckape}, {snura}, {drudi}, {sepli}, {bitmu}, {gacri}",,,,,,marbi,yes,Actions. Safety,,,,,x<sub>1</sub>,is a shelter protecting ,x<sub>2</sub>,against threat ,x<sub>3</sub>,,,,,,,"shelter, haven, refuge, retreat, harbor",,,,,"{bandu}, {ckape}, {snura}, {drudi}, {sepli}, {bitmu}, {gacri}",entity,entity,property of x2,,,,,,,"x1 is a shelter/haven/refuge/retreat/harbor for/protecting x2 from danger/threat x3 ||| (cf. bandu, ckape, snura, drudi, sepli, bitmu, gacri)",3
marce,"
'''marce''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a vehicle for carrying  ''x<sub>2</sub><sub>(entity)</sub>''  ...
:'''lo marce''' — vehicle. '''lo se marce''' — passenger. 
:'''i ti marce lo se vecnu''' — ''This is a vehicle for carrying goods.''
:'''i ti marce ge lo se vecnu na'o ku gi lo remna ca'a ku''' — ''This is a vehicle intended to transport goods but actually used for transporting people.''
:Comment: {karce} and {carce} are designed to be with wheels, {marce} isn't and is more generic.
:Related words: {klama}, {matra}, {bevri}, {bloti}, {carce}, {karce}, {xislu}, {sabnu}, {skiji}",,,,,x1 tutci lo ka bevri x2 fu x3 gi'a te litru x3 x2 kei gi'e se muvgau x4,marce,yes,Socio. Vehicles,,,,,x<sub>1</sub>,is a vehicle for carrying ,x<sub>2</sub>,,,,,,,,"{karce} and {carce} are designed to be with wheels, {marce} isn't and is more generic.",vehicle,passenger,,,,"{klama}, {matra}, {bevri}, {bloti}, {carce}, {karce}, {xislu}, {sabnu}, {skiji}",entity,entity,,,,,,, ...,"x1 is a vehicle/mode of transport carrying x2 in/on surface/medium x3, propelled by x4 ||| (cf. klama, matra, bevri, bloti, carce, karce, sabnu, skiji)",4
marde,"
'''marde''' — ''x<sub>1</sub><sub>(property of x2)</sub>''  is the ethics of performer  ''x<sub>2</sub><sub>(entity)</sub>''  ...
:'''lo marde''' — ethics, morals, moral standards, ethical standards. 
:'''i lo ka zukte lo se cpedu be lo bilma cu marde ei do''' — ''Doing what the ill person asks should be you ethics.''
:Related words: {palci}, {vrude}, {lijda}, {manri}, {javni}, {tarti}, {zekri}",-x1 are the ethics/morals/moral standards/ethical standards of x2 (ind./mass) about situation x3.,_+x1 are the ethics/morals/moral standards/ethical standards of x2 about situation x3.,,,x1 manri lo du'u x2 ma kau vrude .e lo du'u x2 ma kau palci ,marde,yes,Socio. Morality,,,,,x<sub>1</sub>,is the ethics of performer ,x<sub>2</sub>,,,,,,,,,"ethics, morals, moral standards, ethical standards",,,,,"{palci}, {vrude}, {lijda}, {manri}, {javni}, {tarti}, {zekri}",property of x2,entity,,,,,,, ...,"x1 are the ethics/morals/moral standards/ethical standards of x2 (ind./mass) about situation x3 ||| [x1 will (typically) be an abstract, a rule or rules of behavior; also principles; also conscience (= sezmarde)]; (cf. palci, vrude, lijda, manri, javni, tarti, zekri)",3
margu,"
'''margu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a quantity of mercury
:'''lo margu''' — mercury. 
:'''i xu lo margu cu jinme''' — ''Is mercury a metal?''
:Related words: {jinme}",,,,,,margu,yes,Universe. Chemical elements,,,,,x<sub>1</sub>,is a quantity of mercury,,,,,,,,,,mercury,,,,,{jinme},entity,,,,,,,,,x1 is a quantity of/contains/made of mercury/quicksilver; [metaphor: fluid metal; temperature] ||| (cf. jinme),
marji,"
'''marji''' — ''x<sub>1</sub><sub>(entity)</sub>''  is material of composition  ''x<sub>2</sub><sub>(entity)</sub>''  in shape  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo marji''' — material, stuff, matter. '''lo se marji''' — composition of matter. '''lo te marji''' — shape of matter. 
:'''i ti noi nanba cu marji lo mraji lo bliku''' — ''This bread is made of rye and has the form of a block.''
:Related words: {morna}, {mucti}, {nejni}, {tarmi}, {dacti}",,,"_-Also (adjective:) x1 is physical (one sense)/material. See also {morna}, {mucti}, {nejni}, {tarmi}, {dacti}.","_+Also x1 is physical (one sense)/material. See also {morna}, {mucti}, {nejni}, {tarmi}, {dacti}.",x1 gunma x2 noi dacti gi'e nai mucti .i x1 sligu ja litki ja gapci x2,marji,yes,,Universe. Materials & substances,,,,x<sub>1</sub>,is material of composition ,x<sub>2</sub>,in shape ,x<sub>3</sub>,,,,,,,"material, stuff, matter",composition of matter,shape of matter,,,"{morna}, {mucti}, {nejni}, {tarmi}, {dacti}",entity,entity,entity,,,,,,,"x1 is material/stuff/matter of type/composition including x2 in shape/form x3 ||| [also (adjective:) x1 is physical (one sense)/material]; (cf. morna, mucti, nejni, tarmi, dacti)",3
marna,"
'''marna''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a quantity of hemp of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo marna''' — hemp. 
:'''i ti skori lo marna''' — ''This is a cable made of hemp.''
:Related words: {skori}, {tanko}, {sigja}, {xukmi}",,,,,x1 spati x2 noi jutsi la'o jutsi Cannabis sativa jutsi,marna,yes,Living. Plants (non-edible by default),,,,,x<sub>1</sub>,is a quantity of hemp of species ,x<sub>2</sub>,,,,,,,,,hemp,,,,,"{skori}, {tanko}, {sigja}, {xukmi}",entity,taxon,,,,,,,,"x1 is a quantity of hemp/marijuana/jute of species/strain x2 ||| (cf. skori, tanko, sigja, xukmi)",2
marvele,"
'''marvele''' — ''x<sub>1</sub><sub>(entity)</sub>''  is marvelous, astonishing to  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo marvele''' — marvelous. 
:'''i lo bu'u stuzi cu marvele mi''' — ''This place is marvelous to me.''
:Related words: {melbi}",,,,,,marvele,yes,,,,,,x<sub>1</sub>,"is marvelous, astonishing to ",x<sub>2</sub>,,,,,,,,,marvelous,,,,,{melbi},entity,entity,,,,astonish [to],,,,,
marxa,"
'''marxa''' — ''x<sub>1</sub><sub>(entity)</sub>''  crushes or smashes  ''x<sub>2</sub><sub>(entity)</sub>''  into  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''i mi pu marxa lo patlu lo pesxu''' — ''I made mashed potatoes.''
:Related words: {daspo}, {pesxu}, {zalvi}, {bapli}",,,,,x1 gasnu lo nu x2 binxo x3 noi pesxu,marxa,yes,Actions. Physical transformations,,,,,x<sub>1</sub>,crushes or smashes ,x<sub>2</sub>,into ,x<sub>3</sub>,,,,,,,,,,,,"{daspo}, {pesxu}, {zalvi}, {bapli}",entity,entity,entity,,,"crush [to], smash [to]",,,,"x1 [force] mashes/crushes/squashes/smashes x2 into pulp/mash/crumbs/deformed mass x3 ||| (cf. daspo, pesxu, zalvi, bapli)",3
masno,"
'''masno''' — ''x<sub>1</sub><sub>(entity)</sub>''  is slow at doing  ''x<sub>2</sub><sub>(property of x1)</sub>'' 
:'''lo masno''' — slow. 
:'''i le verba ca simlu lo ka masno lo ka cadzu''' — ''The child seems to be slow at walking.''
:Related words: {sutra}",,,,,lo nu x1 mulbi'o x2 cu se ditcu lo barda .i x1 to'e sutra x2,masno,yes,,,,,,x<sub>1</sub>,is slow at doing ,x<sub>2</sub>,,,,,,,,,slow,,,,,{sutra},entity,property of x1,,,,,,,,x1 is slow/sluggish at doing/being/bringing about x2 (event/state) ||| (cf. sutra),2
masti,"
'''masti''' — ''x<sub>1</sub><sub>(clause)</sub>''  is  ''x<sub>2</sub><sub>(number)</sub>''  months long ...
:'''lo masti''' — month-long event. 
:'''i lo lidne dunra cu masti li ci''' — ''The past winter lasted for 3 months.''
:Comment: if x<sub>2</sub> is not used denotes one month in duration
:Related words: {detri}, {djedi}, {jeftu}, {nanca}",,,,,x1 se ditcu lo nu x2 se rapli lo nu lo lunra cu mulno sruli'u lo terdi .i x1 cu djedi li 30 pi'i x2 gi'a jeftu li 4 pi'i x2 gi'a nanca li x2 fe'i 12,masti,yes,Measures. Units of time,,,,,x<sub>1</sub>,is ,x<sub>2</sub>,months long,,,,,,,if x<sub>2</sub> is not used denotes one month in duration,month-long event,,,,,"{detri}, {djedi}, {jeftu}, {nanca}",clause,number,,,,,,, ...,"x1 is x2 months in duration (default is 1 month) by month standard x3 ||| [this month (= cabma'i); next month (= bavla'ima'i); last month (= prula'ima'i)]; (cf. detri, djedi, jeftu, nanca)",3
matci,"
'''matci''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a mat or pad ...
:'''lo matci''' — mat, pad. 
:'''i ko jai mosra lo cutci pe do le matci''' — ''Wipe your shoes on the mat.''
:Related words: {kicne}, {tapla}, {karda}, {ckana}",,,,,,matci,yes,Socio. Furniture,General. Shapes,,,,x<sub>1</sub>,is a mat or pad,,,,,,,,,,"mat, pad",,,,,"{kicne}, {tapla}, {karda}, {ckana}",entity,,,,,,,, ...,"x1 is a mat/pad/mattress/pallet [flat, soft, dense form] of material x2 ||| [also mattress = (kicymatci)]; (cf. kicne, tapla, karda, ckana)",2
matli,"
'''matli''' — ''x<sub>1</sub><sub>(entity)</sub>''  is some flax, linen
:'''lo matli''' — linen. 
:'''i ti noi creka cu matli''' — ''This shirt is linen.''
:Related words: {bukpu}",,,,,x1 marji ja cilta ja bukpu lo spati be la'o jutygunma Linum jutygunma,matli,yes,,Universe. Materials & substances,,,,x<sub>1</sub>,"is some flax, linen",,,,,,,,,,linen,,,,,{bukpu},entity,,,,,,,,,x1 is a quantity of/contains/is made of linen/flax [type of fabric/material] ||| (cf. bukpu),
matne,"
'''matne''' — ''x<sub>1</sub><sub>(entity)</sub>''  is some butter ...
:'''lo matne''' — butter. 
:'''i mi pu citka pa snuji be lo matne bei lo nanba''' — ''I ate a sandwich with butter and bread.''
:Related words: {grasu}, {kruji}",,,"_-(adjective:) x1 is buttery; an edible fat, solid but spreadable at normal temperatures; dairy butter (= {ladmatne}). See also {grasu}, {kruji}.","_+An edible fat, solid but spreadable at normal temperatures; dairy butter (= {ladmatne}). See also {grasu}, {kruji}.",,matne,yes,Living. Food. Prepared,Universe. Materials & substances,,,,x<sub>1</sub>,is some butter,,,,,,,,,,butter,,,,,"{grasu}, {kruji}",entity,,,,,,,, ...,"x1 is a quantity of/contains butter/oleo/margarine/shortening from source x2 ||| [(adjective:) x1 is buttery; an edible fat, solid but spreadable at normal temperatures; dairy butter (= ladmatne)]; (cf. grasu, kruji)",2
matra,"
'''matra''' — ''x<sub>1</sub><sub>(entity)</sub>''  is an engine driving  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo matra''' — engine. 
:'''i ti noi karce cu se matra lo vlipa''' — ''This car has a powerful engine.''
:Related words: {marce}, {minji}, {carce}",,,,,,matra,yes,Socio. Technology,,,,,x<sub>1</sub>,is an engine driving ,x<sub>2</sub>,,,,,,,,,engine,,,,,"{marce}, {minji}, {carce}",entity,entity,,,,,,,,"x1 is a motor/engine, driving/propelling/providing power to x2 ||| (cf. marce, minji, carce)",2
mavji,"
'''mavji''' — ''x<sub>1</sub><sub>(entity)</sub>''  is some oats of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo mavji''' — oats. 
:'''i ze'u ku lo mavji gau ralju cidja lo xirma''' — ''Oats have long been the main food for horses.''
:Related words: {gurni}",,,,,x1 gurni ja spati x2 noi jutsi la'o jutsi Avena sativa jutsi,mavji,yes,Living. Food. Grains,,,,,x<sub>1</sub>,is some oats of species ,x<sub>2</sub>,,,,,,,,,oats,,,,,{gurni},entity,taxon,,,,,,,,x1 is a quantity of oats [grain] of species/strain x2 ||| (cf. gurni),2
maxri,"
'''maxri''' — ''x<sub>1</sub><sub>(entity)</sub>''  is some wheat of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo maxri''' — wheat. 
:'''i lo nanba cu se zbasu fi lo maxri''' — ''Bread is made of wheat.''
:Related words: {gurni}",,,,,x1 gurni ja spati x2 noi jutsi la'o jutygunma Triticum jutygunma,maxri,yes,Living. Food. Grains,,,,,x<sub>1</sub>,is some wheat of species ,x<sub>2</sub>,,,,,,,,,wheat,,,,,{gurni},entity,taxon,,,,,,,,x1 is a quantity of wheat [grain] of species/strain x2 ||| (cf. gurni),2
mebri,"
'''mebri''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a forehead of  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo mebri''' — forehead, brow. 
:'''i le fetsi pu se mebri lo kalri''' — ''She had a forehead open.''
:Related words: {stedu}, {flira}",,,,,,mebri,yes,Living. External anatomy,,,,,x<sub>1</sub>,is a forehead of ,x<sub>2</sub>,,,,,,,,,"forehead, brow",,,,,"{stedu}, {flira}",entity,entity,,,,,,,,"x1 is a/the brow/forehead [projecting flat/smooth head/body-part] of x2 ||| (cf. stedu, flira)",2
megdo,"
'''megdo''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a million of  ''x<sub>2</sub><sub>(same type as x1)</sub>''  in  ''x<sub>3</sub><sub>(property of x1)</sub>'' 
:'''i mi ponse lo megdo be lo rupnu be li ci''' — ''I own three million dollars.''
:'''i e'o do cuxna fi lo pixra poi klani lo megdo be li su'e pa bei lo ka se bitni li bi''' — ''Please choose an image that does not exceed 1 Megabyte.''
:Related words: {centi}",,,,,x1 klani li gei xa x2,megdo,yes,Measures. Numeric. Metric prefixes,,,,,x<sub>1</sub>,is a million of ,x<sub>2</sub>,in ,x<sub>3</sub>,,,,,,,,,,,,{centi},entity,same type as x1,property of x1,,,,,,,"x1 is a million [1x10**6] of x2 in dimension/aspect x3 (default is units) ||| (cf. grake, mitre, snidu, stero, delno, molro, kelvo, xampo, gradu. litce, merli, centi, decti, dekto, femti, gigdo, gocti, gotro, kilto, mikri, milti, nanvi, petso, picti, terto, xatsi, xecto, xexso, zepti, zetro)",3
mekso,"
'''mekso''' — ''x<sub>1</sub><sub>(text)</sub>''  is a mathematical expression under rules  ''x<sub>2</sub><sub>(proposition)</sub>'' 
:'''lo mekso''' — math expression. 
:'''i lu li vo du li re su'i re li'u mekso la lojban''' — ''{li vo du li resu'i re} is a mathematical expression in Lojban.''
:'''i zoi cy.(x+15&~15).cy. mekso lo bangu poi du la c''' — ''&quot;(x+15&~15)&quot; is a mathematical expression in C language.''
:Related words: {cmaci}, {dilcu}, {fancu}, {frinu}, {jalge}, {namcu}, {parbi}, {pilji}",,,,,x1 cmaci selsku gi'e jai se manri x2 fai lo ka smuni ma kau,mekso,yes,,Measures. Mathematics,,,,x<sub>1</sub>,is a mathematical expression under rules ,x<sub>2</sub>,,,,,,,,,math expression,,,,,"{cmaci}, {dilcu}, {fancu}, {frinu}, {jalge}, {namcu}, {parbi}, {pilji}",text,proposition,,,,,,,,"x1 [quantifier/expression] is a mathematical expression interpreted under rules/convention x2 ||| (cf. cmaci, dilcu, fancu, frinu, jalge, namcu, parbi, pilji)",2
melbi,"
'''melbi''' — ''x<sub>1</sub><sub>(entity)</sub>''  is beautiful to observer  ''x<sub>2</sub><sub>(entity)</sub>''  in aspect  ''x<sub>3</sub><sub>(property of x1)</sub>''  ...
:'''lo melbi''' — beautiful. 
:'''i le ninmu cu melbi mi lo ka se catlu''' — ''For me the woman is beautiful to look at.''
:Related words: {pluka}, {xamgu}",,,,,x1 jai pluka x2 fai x3,melbi,yes,,Psycho. Attitude,Split description,,,x<sub>1</sub>,is beautiful to observer ,x<sub>2</sub>,in aspect ,x<sub>3</sub>,,,,,,,beautiful,,,,,"{pluka}, {xamgu}",entity,entity,property of x1,,,,,, ...,"x1 is beautiful/pleasant to x2 in aspect x3 (ka) by aesthetic standard x4 ||| [also handsome, pretty, gorgeous, cute, comely, graceful]; (cf. pluka, xamgu)",4
,,,,,,,meljo,,Socio. Culture. Examples,,,,,x<sub>1</sub>,is Malaysian in ,x<sub>2</sub>,,,,,,,,,something Malaysian,,,,,"{baxso}, {bindo}",entity,property of x1,,,,,,,,,
menli,"
'''menli''' — ''x<sub>1</sub><sub>(clause)</sub>''  is a mind of body  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo menli''' — mind. 
:'''i lo menli be lo smani cu simsa lo menli be lo remna''' — ''The mind of monkeys is similar to the one of humans.''
:Comment: ability of being aware of things and of rational thought.
:Related words: {intele}, {besna}, {morji}, {mucti}, {pensi}, {sanji}, {xanri}, {sevzi}, {xadni}",,,"_-(adjective:) x1 is mental/psychological/a mental phenomenon; multiple personalities (= so'i {menli}). See also {besna}, {morji}, {mucti}, {pensi}, {sanji}, {xanri}, {sevzi}, {xadni}.","_+Multiple personalities (= so'i {menli}). See also {besna}, {morji}, {mucti}, {pensi}, {sanji}, {xanri}, {sevzi}, {xadni}.",x1 pagbu x2 gi'e sanji ja pensi ja cinmo ja ganse ja jundi ja pajni ja jdice ja se xanri ja morji li'o,menli,yes,Psycho. Mind/Knowledge,,,,,x<sub>1</sub>,is a mind of body ,x<sub>2</sub>,,,,,,,,ability of being aware of things and of rational thought.,mind,,,,,"{intele}, {besna}, {morji}, {mucti}, {pensi}, {sanji}, {xanri}, {sevzi}, {xadni}",clause,entity,,,,,,,,"x1 is a mind/intellect/psyche/mentality/[consciousness] of body x2 ||| [(adjective:) x1 is mental/psychological/a mental phenomenon; multiple personalities (= so'i menli)]; (cf. besna, morji, mucti, pensi, sanji, xanri, sevzi, xadni)",2
