particle,mw export,particle,1,2,3 (comm.),1,4 (links),krama'o,mijma'o,famyma'o,S,Basic cmavo?,K,L,gloss ja'ai,gloss cu'i,gloss nai,definition,particle,mw export,particle,1,2,3 (comm.),1,4 (links),krama'o,mijma'o,famyma'o,S,Basic cmavo?,K,L,gloss ja'ai,gloss cu'i,gloss nai,,,,
ka,"
'''ka''' <small>[clause prefix]</small> — turn clause into infinitive
:'''i mi djica lo ka sipna''' — ''I want to sleep.''
:'''i la alis cu nitcu lo ka te dunda lo birje''' — ''Alice needs to be given beer.''
:'''i ta'i ku do ba cirko lo ka sinma ce'u''' — ''This way you will lose respect.''
:'''i lo ka pendo ku po'o cu tadji lo ka se pendo''' — ''The only way to have a friend is to be a friend.''
:Comment: x<sub>1 (property)</sub> is the property of the clause that follows. Has at least one {ce'u} inside being applied to a noun of the outer clause. {ka} without a {ce'u} inside is the same as {ka ce'u}. Used to express infinitives.",ka,clause prefix,turn clause into infinitive,x<sub>1 (property)</sub> is the property of the clause that follows. Has at least one {ce'u} inside being applied to a noun of the outer clause. {ka} without a {ce'u} inside is the same as {ka ce'u}. Used to express infinitives,from clause to selbri,,,,,NU,yes,converter,,,,,abstractor: property/quality abstractor (-ness), x1 is quality/property exhibited by [bridi],ka,"
'''ka''' <small>[clause prefix]</small> — turn clause into infinitive
:'''i mi djica le ka sipna''' — ''I want to sleep.''
:'''i la alis cu nitcu le ka te dunda le birje''' — ''Alice needs to be given beer.''
:'''i ta'i ku do ba cirko le ka sinma ce'u''' — ''This way you will lose respect.''
:'''i le ka pendo ku po'o cu tadji le ka se pendo''' — ''The only way to have a friend is to be a friend.''
:Comment: x<sub>1 (property)</sub> is the property of the clause that follows. Has at least one {ce'u} inside being applied to a noun of the outer clause. {ka} without a {ce'u} inside is the same as {ka ce'u}. Used to express infinitives.",ka,clause prefix,turn clause into infinitive,x<sub>1 (property)</sub> is the property of the clause that follows. Has at least one {ce'u} inside being applied to a noun of the outer clause. {ka} without a {ce'u} inside is the same as {ka ce'u}. Used to express infinitives,from clause to selbri,,,,,NU,yes,converter,,,,,,,
li'i,"
'''li'i''' <small>[clause prefix]</small> — turn clause into verb
:'''i lo pluka ko li'i se senva''' — ''Have a pleasant dream (sweat dreams!)''
:'''i lo pluka ko li'i se citka''' — ''How did you like the party?''
:'''i ma do li'i salci''' — ''The length is two meters.''
:Comment: x<sub>1 (property of x2)</sub> is an experience of ... (clause follows) experienced by x<sub>2</sub>. The first omitted place of the clause is assumed to be the second place of the {li'i} clause.",li'i,clause prefix,turn clause into verb,x<sub>1 (property of x2)</sub> is an experience of ... (clause follows) experienced by x<sub>2</sub>. The first omitted place of the clause is assumed to be the second place of the {li'i} clause,from clause to selbri,,,,,NU,yes,converter,,,,,abstractor: experience abstractor, x1 is x2's experience of [bridi] (participant or observer),li'i,"
'''li'i''' <small>[clause prefix]</small> — turn clause into verb
:'''i le pluka ko li'i se senva''' — ''Have a pleasant dream (sweat dreams!)''
:'''i le pluka ko li'i se citka''' — ''Bon appetite!''
:'''i ma do li'i salci''' — ''How did you like the party?''
:Comment: x<sub>1 (property of x2)</sub> is an experience of ... (clause follows) experienced by x<sub>2</sub>. The first omitted place of the clause is assumed to be the second place of the {li'i} clause.",li'i,clause prefix,turn clause into verb,x<sub>1 (property of x2)</sub> is an experience of ... (clause follows) experienced by x<sub>2</sub>. The first omitted place of the clause is assumed to be the second place of the {li'i} clause,from clause to selbri,,,,,NU,yes,converter,,,,,,,
,---,ni,clause prefix,turn clause into verb,x<sub>1</sub> is the property showing the degree of the event described in the clause that follows,from clause to selbri,,,,,NU,,converter,,,,,abstractor: quantity/amount abstractor, x1 is quantity/amount of [bridi] measured on scale x2,,---,ni,clause prefix,turn clause into verb,x<sub>1</sub> is the property showing the degree of the event described in the clause that follows,from clause to selbri,,,,,NU,,converter,,,,,,,
nu,"
'''nu''' <small>[clause prefix]</small> — turn clause into verb
:'''i mi gleki lo nu do klama''' — ''I am happy that you came.''
:'''i lo nu prami cu nu gunka''' — ''Loving is working.''
:Comment: x<sub>1 (clause)</sub> is the state, process described in the clause that follows.",nu,clause prefix,turn clause into verb,"x<sub>1 (clause)</sub> is the state, process described in the clause that follows",from clause to selbri,,,,kei,NU,yes,converter,,,,,abstractor: generalized event abstractor, x1 is state/process/achievement/activity of [bridi],nu,"
'''nu''' <small>[clause prefix]</small> — turn clause into verb
:'''i mi gleki le nu do klama''' — ''I am happy that you came.''
:'''i le nu prami cu nu gunka''' — ''Loving is working.''
:Comment: x<sub>1 (clause)</sub> is the state, process described in the clause that follows.",nu,clause prefix,turn clause into verb,"x<sub>1 (clause)</sub> is the state, process described in the clause that follows",from clause to selbri,,,,kei,NU,yes,converter,,,,,,,
si'o,"
'''si'o''' <small>[clause prefix]</small> — turn clause into verb
:'''i mi nelci lo si'o xunre''' — ''I like the color red.''
:Comment: x<sub>1 (clause)</sub> is a concept described in the clause that follows.",si'o,clause prefix,turn clause into verb,x<sub>1 (clause)</sub> is a concept described in the clause that follows,from clause to selbri,,,,,NU,yes,converter,,,,,abstractor: idea/concept abstractor, x1 is x2's concept of [bridi],si'o,"
'''si'o''' <small>[clause prefix]</small> — turn clause into verb
:'''i mi nelci le si'o xunre''' — ''I like the color red.''
:Comment: x<sub>1 (clause)</sub> is a concept described in the clause that follows.",si'o,clause prefix,turn clause into verb,x<sub>1 (clause)</sub> is a concept described in the clause that follows,from clause to selbri,,,,,NU,yes,converter,,,,,,,
su'u,"
'''su'u''' <small>[clause prefix]</small> — turn clause into verb
:'''i lo su'u mi tadni vau be lo pruce cu nandu''' — ''My learning is hard process.''
:'''i lo nu catlu lo pindi vau be lo se lifri pu cizra''' — ''It was a strange experience to look at the poor man.''
:Comment: x<sub>1 (clause)</sub> is the clause (that follows) that has the type x<sub>2</sub>. Allows to specify the type of the clause.",su'u,clause prefix,turn clause into verb,x<sub>1 (clause)</sub> is the clause (that follows) that has the type x<sub>2</sub>. Allows to specify the type of the clause,from clause to selbri,,,,,NU,yes,converter,,,,,abstractor: generalized abstractor (how), x1 is [bridi] as a non-specific abstraction of type x2,su'u,"
'''su'u''' <small>[clause prefix]</small> — turn clause into verb
:'''i le su'u mi tadni vau be le pruce cu nandu''' — ''My learning is hard process.''
:'''i le nu catlu le pindi vau be le se lifri pu cizra''' — ''It was a strange experience to look at the poor man.''
:Comment: x<sub>1 (clause)</sub> is the clause (that follows) that has the type x<sub>2</sub>. Allows to specify the type of the clause.",su'u,clause prefix,turn clause into verb,x<sub>1 (clause)</sub> is the clause (that follows) that has the type x<sub>2</sub>. Allows to specify the type of the clause,from clause to selbri,,,,,NU,yes,converter,,,,,,,
,---,mu'e,clause prefix,turn clause into verb,"x<sub>1</sub> is the event as a point, achievement described in the clause that follows",from clause to selbri,,,,,NU1,,converter,,,,,abstractor: achievement (event) abstractor, x1 is the event-as-a-point/achievement of [bridi],,---,mu'e,clause prefix,turn clause into verb,"x<sub>1</sub> is the event as a point, achievement described in the clause that follows",from clause to selbri,,,,,NU1,,converter,,,,,,,
,---,pu'u,clause prefix,turn clause into verb,x<sub>1</sub> is process proceeding in stages x<sub>2</sub> described in the clause that follows,from clause to selbri,,,,,NU1,,converter,,,,,abstractor: process (event) abstractor, x1 is process of [bridi] proceeding in stages x2,,---,pu'u,clause prefix,turn clause into verb,x<sub>1</sub> is process proceeding in stages x<sub>2</sub> described in the clause that follows,from clause to selbri,,,,,NU1,,converter,,,,,,,
,---,za'i,clause prefix,turn clause into verb,x<sub>1</sub> is a continuous state of the clause that follows being true,from clause to selbri,,,,,NU1,,converter,,,,,abstractor: state (event) abstractor, x1 is continuous state of [bridi] being true,,---,za'i,clause prefix,turn clause into verb,x<sub>1</sub> is a continuous state of the clause that follows being true,from clause to selbri,,,,,NU1,,converter,,,,,,,
,---,zu'o,clause prefix,turn clause into verb,x<sub>1</sub> is the activity described in the clause that follows proceeding in stages x<sub>2(entity group)</sub>,from clause to selbri,,,,,NU1,,converter,,,,,abstractor: activity (event) abstractor, x1 is abstract activity of [bridi] composed of x2,,---,zu'o,clause prefix,turn clause into verb,x<sub>1</sub> is the activity described in the clause that follows proceeding in stages x<sub>2(entity group)</sub>,from clause to selbri,,,,,NU1,,converter,,,,,,,
,---,nu'a,,turn math expression into main verb,??? x1 is the result of applying x2 (numeral),from math expression to main verb,,,,,NUhA,,,,,,,convert mathematical expression (mex) operator to a main verb/tanru component,,---,nu'a,,turn math expression into main verb,??? x1 is the result of applying x2 (numeral),from math expression to main verb,,,,,NUhA,,,,,,,,,,
,---,nu'u,terminator,,,,,NUhI,,,NUhU,,terminator,,,,,elidable terminator: end forethought termset, usually elidable except with following sumti,,---,nu'u,terminator,,,,,NUhI,,,NUhU,,terminator,,,,,,,
bi,"
'''bi''' <small>[digit/number]</small> — @@@8@@@, @@@eight@@@
:'''i bi xrula ca zvati le purdi''' — ''There are 9 pencils that I use.''",bi,digit/number,"@@@8@@@, @@@eight@@@",,digit/number,,,,,PA1,yes,number,,"8, eight",,,digit/number: 8 (digit) [eight],bi,"
'''bi''' <small>[digit/number]</small> — @@@8@@@, @@@eight@@@
:'''i bi xrula ca zvati le mi'u purdi''' — ''There are 9 pencils that I use.''",bi,digit/number,"@@@8@@@, @@@eight@@@",,digit/number,,,,,PA1,yes,number,,"8, eight",,,,,,
ci,"
'''ci''' <small>[digit/number]</small> — @@@3@@@, @@@three@@@
:'''i ci delfinu ca limna ne'a lo korbi''' — ''There are three dolphins swimming near the shore.''",ci,digit/number,"@@@3@@@, @@@three@@@",,digit/number,,,,,PA1,yes,number,,"3, three",,,digit/number: 3 (digit) [three],ci,"
'''ci''' <small>[digit/number]</small> — @@@3@@@, @@@three@@@
:'''i ci delfinu ca limna ne'a le korbi''' — ''There are three dolphins swimming near the shore.''",ci,digit/number,"@@@3@@@, @@@three@@@",,digit/number,,,,,PA1,yes,number,,"3, three",,,,,,
mu,"
'''mu''' <small>[digit/number]</small> — @@@5@@@, @@@five@@@
:'''i mu bakni pu zvati le purdi''' — ''There were 5 cows in the garden.''",mu,digit/number,"@@@5@@@, @@@five@@@",,digit/number,,,,,PA1,yes,number,,"5, five",,,digit/number: 5 (digit) [five],mu,"
'''mu''' <small>[digit/number]</small> — @@@5@@@, @@@five@@@
:'''i mu bakni pu zvati le mi'u purdi''' — ''There were 5 cows in the garden.''",mu,digit/number,"@@@5@@@, @@@five@@@",,digit/number,,,,,PA1,yes,number,,"5, five",,,,,,
no,"
'''no''' <small>[digit/number]</small> — @@@0@@@, @@@zero@@@
:'''i no bramlatu ca zvati le boske''' — ''There are no big cats in the forest.''",no,digit/number,"@@@0@@@, @@@zero@@@",,digit/number,,,,,PA1,yes,number,,"0, zero",,,digit/number: 0 (digit) [zero],no,"
'''no''' <small>[digit/number]</small> — @@@0@@@, @@@zero@@@
:'''i no bramlatu ca zvati le mi'u boske''' — ''There are no big cats in the forest.''",no,digit/number,"@@@0@@@, @@@zero@@@",,digit/number,,,,,PA1,yes,number,,"0, zero",,,,,,
pa,"
'''pa''' <small>[digit/number]</small> — @@@1@@@, @@@one@@@
:'''i pa planeta cu xamgu loi remna''' — ''There is one planet for humanity.''",pa,digit/number,"@@@1@@@, @@@one@@@",,digit/number,,,,,PA1,yes,number,,"1, one",,,digit/number: 1 (digit) [one],pa,"
'''pa''' <small>[digit/number]</small> — @@@1@@@, @@@one@@@
:'''i pa planeta cu xamgu lei remna''' — ''There is one planet for humanity.''",pa,digit/number,"@@@1@@@, @@@one@@@",,digit/number,,,,,PA1,yes,number,,"1, one",,,,,,
re,"
'''re''' <small>[digit/number]</small> — @@@2@@@, @@@two@@@
:'''i re cribe ca cpana lo bisli''' — ''There are two bears on the ice.''",re,digit/number,"@@@2@@@, @@@two@@@",,digit/number,,,,,PA1,yes,number,,"2, two",,,digit/number: 2 (digit) [two],re,"
'''re''' <small>[digit/number]</small> — @@@2@@@, @@@two@@@
:'''i re cribe ca cpana le bisli''' — ''There are two bears on the ice.''",re,digit/number,"@@@2@@@, @@@two@@@",,digit/number,,,,,PA1,yes,number,,"2, two",,,,,,
so,"
'''so''' <small>[digit/number]</small> — @@@9@@@, @@@nine@@@
:'''i so tadni ca catlu do''' — ''There are 9 students looking at you.''",so,digit/number,"@@@9@@@, @@@nine@@@",,digit/number,,,,,PA1,yes,number,,"9, nine",,,digit/number: 9 (digit) [nine],so,"
'''so''' <small>[digit/number]</small> — @@@9@@@, @@@nine@@@
:'''i so tadni ca catlu do''' — ''There are 9 students looking at you.''",so,digit/number,"@@@9@@@, @@@nine@@@",,digit/number,,,,,PA1,yes,number,,"9, nine",,,,,,
vo,"
'''vo''' <small>[digit/number]</small> — @@@4@@@, @@@four@@@
:'''i vo manti ca plipe le tricu''' — ''There are 4 ants climbing the tree.''",vo,digit/number,"@@@4@@@, @@@four@@@",,digit/number,,,,,PA1,yes,number,,"4, four",,,digit/number: 4 (digit) [four],vo,"
'''vo''' <small>[digit/number]</small> — @@@4@@@, @@@four@@@
:'''i vo manti ca plipe le mi'u tricu''' — ''There are 4 ants climbing the tree.''",vo,digit/number,"@@@4@@@, @@@four@@@",,digit/number,,,,,PA1,yes,number,,"4, four",,,,,,
xa,"
'''xa''' <small>[digit/number]</small> — @@@6@@@, @@@six@@@
:'''i xa cipni ca vofli''' — ''There are 6 birds flying.''",xa,digit/number,"@@@6@@@, @@@six@@@",,digit/number,,,,,PA1,yes,number,,"6, six",,,digit/number: 6 (digit) [six],xa,"
'''xa''' <small>[digit/number]</small> — @@@6@@@, @@@six@@@
:'''i xa cipni ca vofli''' — ''There are 6 birds flying.''",xa,digit/number,"@@@6@@@, @@@six@@@",,digit/number,,,,,PA1,yes,number,,"6, six",,,,,,
ze,"
'''ze''' <small>[digit/number]</small> — @@@7@@@, @@@seven@@@
:'''i li cy ze tcika ti''' — ''It's 7 o'clock.''",ze,digit/number,"@@@7@@@, @@@seven@@@",,digit/number,,,,,PA1,yes,number,,"7, seven",,,digit/number: 7 (digit) [seven],ze,"
'''ze''' <small>[digit/number]</small> — @@@7@@@, @@@seven@@@
:'''i li cy ze tcika ti''' — ''It's 7 o'clock.''",ze,digit/number,"@@@7@@@, @@@seven@@@",,digit/number,,,,,PA1,yes,number,,"7, seven",,,,,,
dau,"
'''dau''' <small>[digit/number]</small> — hex digit @@@A@@@ (decimal 10), @@@ten@@@
:'''i ei mi'o denpa ze'a lo djedi be li dau''' — ''We should wait for 10 days.''",dau,digit/number,"hex digit @@@A@@@ (decimal 10), @@@ten@@@",,digit/number,,,,,PA2,yes,number,,"A (hex digit), 10, ten",,,digit/number: hex digit A (decimal 10) [ten],dau,"
'''dau''' <small>[digit/number]</small> — hex digit @@@A@@@ (decimal 10), @@@ten@@@
:'''i ei mi'o denpa ze'a le djedi be li dau''' — ''We should wait for 10 days.''",dau,digit/number,"hex digit @@@A@@@ (decimal 10), @@@ten@@@",,digit/number,,,,,PA2,yes,number,,"A (hex digit), 10, ten",,,,,,
fei,"
'''fei''' <small>[digit/number]</small> — hex digit @@@B@@@ (decimal 11), @@@eleven@@@
:'''i mi ba volta de'i li cy fei''' — ''I will return at 11 o'clock.''",fei,digit/number,"hex digit @@@B@@@ (decimal 11), @@@eleven@@@",,digit/number,,,,,PA2,yes,number,,"B (hex digit), 11, eleven",,,digit/number: hex digit B (decimal 11) [eleven],fei,"
'''fei''' <small>[digit/number]</small> — hex digit @@@B@@@ (decimal 11), @@@eleven@@@
:'''i mi ba volta de'i li cy fei''' — ''I will return at 11 o'clock.''",fei,digit/number,"hex digit @@@B@@@ (decimal 11), @@@eleven@@@",,digit/number,,,,,PA2,yes,number,,"B (hex digit), 11, eleven",,,,,,
